Title,Address,Description,Price,Agency,Phone,Image
3 bedroom maisonette for sale,"Stratford Road, London, W8","A well-presented & Bright three bedroom, two bathroom contemporary duplex apartment in a white stucco-fronted period building in the sought after Stratford Village","£1,750,000",Savills - Kensington,020 8022 7347,https://media.onthemarket.com/properties/8625898/1298886349/composite.jpg
1 bedroom flat for sale,"Battersea Rise, Battersea",This impressive one bedroom apartment is situated in a modern development moments from the fashionable shops and restaurants of Northcote Road offered to the market with no onward chain.,"£499,950",Kinleigh Folkard & Hayward - Battersea Sales,020 8033 2488,https://media.onthemarket.com/properties/8625894/1298886146/composite.jpg
1 bedroom flat for sale,"Durnsford Road, Wimbledon","A 1 double bedroom period conversion flat amassing 504Sq Ft, located on the first floor. With Modern Kitchen and Bathrooms and presented in excellent order throughout.","£400,000",Kinleigh Folkard & Hayward - Southfields Sales,020 8033 2449,https://media.onthemarket.com/properties/8625609/1298878101/composite.jpg
2 bedroom flat for sale,"Mapes House,  Winchester Avenue, London, NW6","A 2 bedroom flat for sale in Queen's Park, NW6  A light and spacious two-bedroom duplex apartment with private balconies and set within this purpose built development.  This property consists of a separate kitchen and sizeable reception area, bathed in natural light, thanks to full height glass...","£365,000",Knight Frank - Queens Park,020 8022 5841,https://media.onthemarket.com/properties/8587191/1298800383/composite.jpg
4 bedroom flat for sale,"Weydown Close, Southfields","A rarely available 4 bedroom, 2 bathroom top floor apartment with enviable south westerly views across Wimbledon Park and easy access to Southfields Village with its array of shops and tube.","£450,000",Kinleigh Folkard & Hayward - Southfields Sales,020 8033 2449,https://media.onthemarket.com/properties/8625608/1298878091/composite.jpg
2 bedroom flat for sale,"Denmark Hill Estate, Dulwich","A well presented two double bedroom apartment set on the second floor of a popular purpose built block. Denmark Hill Station offers easy access to Blackfriars, Clapham Junction and Victoria.","£450,000",Kinleigh Folkard & Hayward - Dulwich Village,020 8022 7083,https://media.onthemarket.com/properties/8625504/1298876540/composite.jpg
2 bedroom flat for sale,"Priory Crescent, Crystal Palace","Set within a quiet cul de sac close to an array of local amenities, green space and an outstanding School is this charming two bedroom apartment well presented throughout. The property boasts a spacious reception room, off street parking and access to a communal garden.","£325,000",Kinleigh Folkard & Hayward - Crystal Palace Sales,020 8033 2470,https://media.onthemarket.com/properties/8625503/1298876531/composite.jpg
3 bedroom maisonette for sale,"Guilford Street, Bloomsbury, London, WC1N","3 Bedroom duplex apartment for sale in Bloomsbury  A rare, Grade II listed, spacious,  three bedroom duplex apartment with access to a private garden. Apartment 1 is part of the 81 Guilford Street development, located on the ground floor of a beautiful period conversion with high quality fittings...","£1,800,000",Knight Frank - Marylebone,020 8022 7410,https://media.onthemarket.com/properties/8625388/1298875076/composite.jpg
4 bedroom terraced house for sale,"St. Pauls Road, London, N1","A wonderful four bedroom Grade II listed townhouse with a deep rear garden in the heart of the Canonbury conservation area.  Beautifully presented throughout, the property retains a host of period features including stripped and polished wooden floors, ceiling cornices and fireplaces.   Arranged...","£1,650,000",Knight Frank - Islington,020 8022 7427,https://media.onthemarket.com/properties/8625387/1298949604/composite.jpg
6 bedroom terraced house for sale,"Beckwith Road, North Dulwich London SE24","Five / six bedroom Victorian family home in the North Dulwich Triangle EPC:E  This beautiful five/six bedroom Victorian family home has been lovingly restored and beautifully decorated throughout.   Bay windows, cornicing, centre roses, original fireplaces and other period features have been...","£1,900,000",Knight Frank - Dulwich Village,020 8022 4617,https://media.onthemarket.com/properties/8625315/1298914055/composite.jpg
2 bedroom flat for sale,"Doulton House, 11 Park Street, London, SW6","A stylish 2 bedroom apartment for sale in Chelsea Creek, SW6.  This is a beautifully appointed 2 bedroom, two bathroom flat in Chelsea Creek. The apartment is bright and spacious. There are floor to ceiling windows throughout the apartment allowing an abundance of light to fill the room.   The...","£875,000",Knight Frank - Battersea & Riverside,020 8022 7422,https://media.onthemarket.com/properties/8625262/1298871716/composite.jpg
6 bedroom detached house for sale,"Cator Road, Sydenham London SE26","Substantial 6 bedroom double fronted house

A most attractive, large, detached family house in this highly regarded street offering spacious, well planned and well-presented accommodation with a superb west-facing garden.

EPC rating: D

This substantial and elegant family home is situated on ...","£2,000,000",Knight Frank - Dulwich Village,020 8022 4617,https://media.onthemarket.com/properties/3279922/1298871719/composite.jpg
3 bedroom end of terrace house for sale,"Hampden Way, Southgate","A three bedroom semi detached house with garage, offering wonderful living space, ideally located for access to Ashmole school and situated 0.8 miles to Southgate Underground station.","£650,000",Kinleigh Folkard & Hayward - Southgate,020 8022 6526,https://media.onthemarket.com/properties/8625249/1298871315/composite.jpg
4 bedroom terraced house for sale,"Glengall Road, Queen's Park, London, NW6","A beautiful 4 bedroom house for sale in Queen's Park, NW6  An immaculate family home that has been renovated and maintained throughout to a very high standard. EPC:   This bright four bedroom home offers in excess of 1,600 sq ft of accommodation, and seamlessly combines beautiful modern interiors...","£1,500,000",Knight Frank - Queens Park,020 8022 5841,https://media.onthemarket.com/properties/8624854/1298864620/composite.jpg
1 bedroom flat for sale,"Empire House, Thurloe Place, London","Offering good ceiling heights and a large gross internal area, this brilliant one-bedroom flat could be arranged as a two-bedroom, and is found in one of South Kensington’s most prestigious traditional portered buildings. Long leasehold.","£1,750,000",Strutt & Parker - London South Kensington,020 8022 3066,https://media.onthemarket.com/properties/8624723/1298853297/composite.jpg
2 bedroom flat for sale,"Brook Drive, Kennington",Rare opportunity to acquire this  resplendent Victorian conversion flat. Tastefully fusing period character and charm throughout with a contemporary and elegant finish for modern living.,"£700,000",Kinleigh Folkard & Hayward - Kennington Sales,020 8033 2458,https://media.onthemarket.com/properties/8624604/1298850951/composite.jpg
1 bedroom flat for sale,"Poets Road, Newington Green, London N5",Within an attractive 3 storey Victorian bay fronted terraced house. An extremely spacious (653 sq/ft) one bedroom lower ground floor flat having the benefit of its own private entrance and a 50ft rear garden.  Poets Road is located just off Petherton Road. Good shops and transport facilities...,"£550,000",Daniel Rose Residential - Islington,020 8033 9875,https://media.onthemarket.com/properties/8628917/1298958719/image-0-480x320.jpg
2 bedroom flat for sale,"Camelot House, Camden Park Road, London",A spacious and wonderfully bright two double bedroom maisonette with far reaching views.Leasehold,"£450,000",Chestertons - Camden,020 8022 7201,https://media.onthemarket.com/properties/5704752/1298958554/image-0-480x320.jpg
3 bedroom end of terrace house for sale,"Glenview, Upper Abbey Wood, London, SE2 0SQ","Chain Free * Three Bedroom End Terraced Family Home * Sought After Location * Off Road Parking * Garage to Rear * Two Reception Rooms * Well Stocked Rear Garden * Close to Bedonwell Primary School, Bostall Heath and Lesnes Woods *","£385,000",Hunters - Abbey Wood,020 8033 9226,https://media.onthemarket.com/properties/8230064/1286267009/image-0-480x320.jpg
2 bedroom flat for sale,"Whitehorse Road, Thornton Heath, Surrey, CR7","Offered for sale with no onward chain is this first floor flat benefiting from a new extended lease.The accommodation comprises two bedrooms with large internal hallway on the ground and first floor with a kitchen/dining room, bathroom/WC and lounge/reception room to the front.","£219,950",Hyde & Rowe - South Croydon,020 8115 8460,https://media.onthemarket.com/properties/8136085/1298958427/image-0-480x320.jpg
3 bedroom end of terrace house for sale,"Warwick Drive, Putney, London","AVAILABLE FOR VIDEO TOUR CALL OR EMAIL US. This well-located end of terrace family home benefits from almost 1,500 sq. ft. of accommodation, as well a wider than average rear garden and private garage.Freehold","£875,000",Chestertons - Putney,020 8022 7067,https://media.onthemarket.com/properties/8179598/1297467464/image-0-480x320.jpg
5 bedroom house for sale,"High Holborn, Holborn, Bloomsbury, London","This Grade II Listed Georgian house with fascinating period features is situated in the eclectic and trendy Covent Garden District of London. With large and sophisticated rooms, there is ample space for entertaining.Leasehold","£2,900,000",Chestertons - Covent Garden,020 8022 7382,https://media.onthemarket.com/properties/4389299/1298958421/image-0-480x320.jpg
3 bedroom semi-detached house for sale,"Westlake Close, Hayes, Middlesex, UB4","Offered to the market chain free and situated on a quiet cul-de-sac, this well presented and extended semi-detached home offers three bedrooms, two reception rooms, a downstairs W/C and its own driveway.   The ground floor comprises a reception room, family room, cloakroom, office/bedroom and a...","£430,000",Gibbs Gillespie - Uxbridge,01895 754905,https://media.onthemarket.com/properties/8267741/1287528365/image-0-480x320.jpg
2 bedroom flat for sale,"Highbury Park, Highbury, London","A stunning 2 bedroom flat positioned on the 1st floor of this charming stucco fronted Georgian mid terraced house set within this Grade II listed terrace right in the very heart of Highbury, moments from Highbury Barn and greenery of Highbury Fields.Share of Freehold","£750,000",Chestertons - Islington,020 8022 7245,https://media.onthemarket.com/properties/8628874/1298957826/image-0-480x320.jpg
2 bedroom flat for sale,"The Landau, 72 Farm Lane, West Brompton, London","A sensational duplex apartment extending to approx 1353 sq ft (125 sq m) set within this prestigious development with 24 hour concierge, secure parking & Gym facilities  and nestled between West Brompton & Fulham Broadway stations.Leasehold","£1,199,999",Chestertons - Fulham Road,020 8022 7267,https://media.onthemarket.com/properties/7743646/1289001967/image-0-480x320.jpg
10 bedroom detached house for sale,"Arthur Road, Wimbledon, SW19",A really substantial Edwardian detached house conveniently situated in this favoured residential road between Wimbledon Village and Wimbledon Park,"£4,350,000",Robert Holmes & Company - Wimbledon Village,020 8033 9596,https://media.onthemarket.com/properties/8628865/1298957760/image-0-480x320.jpg
2 bedroom maisonette for sale,"Brighton Road, Purley, Surrey, CR8","A first floor maisonette in this semi-detached house, offered for sale in very good condition throughout and conveniently positioned to take advantage of local transport links benefitting from parking for two vehicles and a private garden.The accommodation comprises two double bedrooms with...","£285,000",Hyde & Rowe - South Croydon,020 8115 8460,https://media.onthemarket.com/properties/8171571/1298957751/image-0-480x320.jpg
4 bedroom detached house for sale,"Gayton Road, London, NW3","A four bedroom townhouse in Hampstead Village

A four bedroom terraced house in the heart of Hampstead Village. This fantastic townhouse extends to approx. 1,933 sq ft and is currently arranged as two flats over 5 floors and benefits from a rear patio garden.

Currently set out as two maisonettes...","£2,500,000",Knight Frank - Hampstead,020 8022 7297,https://media.onthemarket.com/properties/8222692/1298920788/composite.jpg
1 bedroom apartment for sale,"Duckett Road, Harringay, London, N4",Compact one double bedroom period conversion arranged over the ground floor of an attractive and well maintained Victorian terrace. This delightful period flat offers 31.6 Sq. M and is positioned on a sought after road on the Harringay 'Ladder'. The property is sold with the share of Freehold and...,"£260,000",Paul Simon - Harringay,020 8033 9845,https://media.onthemarket.com/properties/6309689/1285783315/image-0-480x320.jpg
3 bedroom detached house for sale,"South View Road, Pinner Hill, Pinner, Middlesex HA5",VIDEO TOUR AVAILABLE PLEASE CONTACT US FOR FURTHER DETAILS  A charming three bedroom detached family home set on Pinner Hill's prestigious private gated estate with a rich history being one of the gate houses to what now is Pinner Hill Golf Club.  The property comprises an entrance porch which...,"£1,150,000",Robsons - Pinner,020 8115 0921,https://media.onthemarket.com/properties/8628856/1298957710/image-0-480x320.jpg
3 bedroom flat for sale,"Olney Road, Walworth",This larger than average three bedroom duplex apartment is offered to market in great condition. Exceptionally located for transport links and local amenities just a short stroll away.,"£425,000",Kinleigh Folkard & Hayward - Kennington Sales,020 8033 2458,https://media.onthemarket.com/properties/7933408/1278302525/image-0-480x320.jpg
4 bedroom terraced house for sale,"Maple Road, Anerley","A charming four bedroom family home positioned close to an array of local amenities schools and transport links. The property is offered with no onward chain and boasts a large kitchen/diner, a spacious through lounge and a good size rear garden. 
","£550,000",Kinleigh Folkard & Hayward - Crystal Palace Sales,020 8033 2470,https://media.onthemarket.com/properties/8400097/1291178121/image-0-480x320.jpg
2 bedroom flat for sale,"Firstway, Raynes Park","A fantastic two double bedroom split level conversion located on a quiet residential road in the heart of Raynes Park only moments from the train station and amenities.
","£499,950",Kinleigh Folkard & Hayward - Raynes Park Sales,020 8033 2450,https://media.onthemarket.com/properties/7853668/1276541110/image-0-480x320.jpg
6 bedroom detached house for sale,"The Bishops Avenue, Hampstead, N2","Set in beautiful grounds is this six bedroom, five reception, six bathroom detached two storey period house with off street parking and a garage","£10,000,000",Chancellors - Hampstead Sales,020 8115 7396,https://media.onthemarket.com/properties/8320484/1298955956/image-0-480x320.jpg
3 bedroom detached house for sale,"Norman Crescent, Pinner, Middlesex, HA5","Set on a peaceful road close to amenities, this detached house offers neat interiors with potential to update and extend STPP.The property briefly comprises an entrance hallway, WC and a kitchen with fitted units and access to the garden. Completing the ground floor is the spacious...","£750,000",Gibbs Gillespie - Pinner Sales,020 8033 9914,https://media.onthemarket.com/properties/8486305/1293267844/image-0-480x320.jpg
3 bedroom terraced house for sale,"Park View, Chigwell, Essex","This is an ideal opportunity to buy this recently built terraced house if you missed out first time round! It is beautifully presented, has lovely views to the front and is in a gated community.","£575,000",Douglas Allen - Chigwell,020 8128 9427,https://media.onthemarket.com/properties/7728315/1271261614/image-0-480x320.jpg
3 bedroom semi-detached house for sale,"Bonchurch Road, London, W10","A modern townhouse in the heart of Notting Hill, W10  Beautifully interior designed by its current owners, this sunny end-of terrace town house is situated in the Portobello Square development; a peaceful and secure neighborhood just tucked behind the fashionable Golborne Road and world famous...","£1,900,000",Knight Frank - Notting Hill,020 8022 7172,https://media.onthemarket.com/properties/8628792/1298955801/image-0-480x320.jpg
3 bedroom house for sale,"Brentham Way, Brentham Garden Estate, Pitshanger Lane area, Ealing","Arranged on two floors, a beautifully-appointed Edwardian character property benefiting from ""The Orchard Garden"" and well established rear garden.  The property is available with no onward chain.","£949,950",Grimshaw & Co - Ealing,020 8115 2421,https://media.onthemarket.com/properties/8628750/1298955565/image-0-480x320.jpg
4 bedroom terraced house for sale,"122 Farmer Road, London, E10","A charming brick-fronted, four bedroom Victorian mid-terrace house, with loft conversion and spread over three floors. The house boasts a 290 square foot open plan lounge/diner and two minutes walk to Leyton Midland Road overground station (Barking line). Change to Victoria line at Blackhorse...","£575,000",99home - Wembley,020 8033 0770,https://media.onthemarket.com/properties/8628751/1298955188/image-0-480x320.jpg
4 bedroom semi-detached house for sale,"The Charter Road, Woodford Green, Essex","Buyers Fees apply - see brochure for details. Chain Free! For sale by Modern Method of Auction: Starting bid price £835,000 plus reservation fee. Large plot with the potential to extend, subject the planning permissions, and views stretching across Highams Park.","£800,000",Douglas Allen - Woodford Green,020 8022 3073,https://media.onthemarket.com/properties/8555743/1296550517/image-0-480x320.jpg
3 bedroom end of terrace house for sale,"Beverley Road, New Malden","IN NEED OF REFURBISHMENT - a great size, three bedroom end terrace house within the catchment for Burlington School. Scope to extend (STPP) West facing garden and PARKING...","£500,000",Groves Residential - New Malden,020 8115 3176,https://media.onthemarket.com/properties/8385128/1298954786/image-0-480x320.jpg
4 bedroom semi-detached house for sale,Four Bedroom House For Sale,Heaven properties present a Four Bedroom Family home on the Mitcham/Streatham Vale borders.,"£575,000",Heaven Properties - Norbury,020 8022 7282,https://media.onthemarket.com/properties/8476800/1298916793/composite.jpg
5 bedroom detached house for sale,"St. Margarets Drive, Twickenham, TW1","A detached 5 bedroom detached house with  large garden and off street parking.  Owing to our commitment to keep both our colleagues and clients safe during this period of recommended isolation, we have many self-serve viewing options available to you. These include video walkthroughs, 360 virtual...","£1,775,000",Knight Frank - Richmond,020 8022 6549,https://media.onthemarket.com/properties/8602405/1298763812/composite.jpg
2 bedroom flat for sale,"73 Friern Road, East Dulwich","Wow factor of an apartment, this two double bedroom flat arranged over three levels, has an exceptional finish, an added en suite, abundant natural light and spectacular views. A fantastic property in a superb East Dulwich location. Call haart to view","£625,000",haart Estate Agents - Dulwich,020 8022 7082,https://media.onthemarket.com/properties/3754287/1291445601/image-0-480x320.jpg
3 bedroom end of terrace house for sale,"Brockenhurst Way, London, SW16","Gordon & Co Norbury are proud to present this fully modernised 3 bedroom end of terraced house with off street parking. Recently renovated by the current owner, with further scope to extend in to the loft subject to the usual permissions.","£484,950",Gordon & Co - Norbury,020 8022 6761,https://media.onthemarket.com/properties/8628728/1298954699/image-0-480x320.jpg
3 bedroom end of terrace house for sale,"Becmead Avenue, Kenton, HA3 8HD","An extended and versatile, 'Nash' built three/four bedroom end of terrace house situated within a sought after and rarely available residential road in Kenton. The property comprises ; two large reception rooms, spacious L- shape kitchen/diner, utility room, guest cloakroom, study/bedroom four,...","£669,950","Salter McGuinness - Harrow, Kenton Road",020 8022 6547,https://media.onthemarket.com/properties/8628399/1298947863/image-0-480x320.jpg
5 bedroom terraced house for sale,"Fairmount Road, SW2","A beautiful example of a five double bedroom, three bathroom Victorian terrace house situated on this quiet residential road close by to the green open spaces of Brockwell Park. The heart of Brixton is a short walk with it's wealth of shops, bars, restaurants and public transport. 

This house..","£1,375,000",Douglas & Gordon - Clapham,020 8022 6757,https://media.onthemarket.com/properties/8628686/1298953750/image-0-480x320.jpg
2 bedroom flat for sale,"Limes Gardens, SW18","An elegant and light two double bedroom, first floor flat, positioned within a well-maintained mansion block. The property is well presented throughout and offers a large, dual aspect reception room with period fire place and a separate kitchen. The spacious master bedroom is also dual aspect and..","£480,000",Douglas & Gordon - Southfields & Earlsfield,020 8022 6866,https://media.onthemarket.com/properties/8365030/1289825441/image-0-480x320.jpg
1 bedroom apartment for sale,"Wightman Road, Harringay, London, N4","Guide Price £375,000 - £400,000Paul Simon market For Sale this stunning development which has been converted to create three exceptional apartments within a three storey brick fronted building. This truly tasteful top floor one bedroom apartment is conveniently positioned moments from Harringay...","£375,000",Paul Simon - Harringay,020 8033 9845,https://media.onthemarket.com/properties/8628724/1298954631/image-0-480x320.jpg
2 bedroom apartment for sale,"Wightman Road, Harringay, London, N4","Guide Price £440,000 - £450,000 Paul Simon market For Sale this stunning development which has been converted to create three exceptional apartments within a three storey brick fronted building.  This elegant two bedroom first floor apartment is conveniently positioned moments from Harringay BR...","£440,000",Paul Simon - Harringay,020 8033 9845,https://media.onthemarket.com/properties/8628715/1298954493/image-0-480x320.jpg
1 bedroom flat for sale,"Elspeth Road, Battersea, SW11",Samuel estates is proud to present this large one double bedroom apartment positioned on the corner of Elspeth Road. ,"£340,000",Samuel Estates - Streatham,020 8033 8931,https://media.onthemarket.com/properties/8290826/1288048813/image-0-480x320.jpg
1 bedroom flat for sale,"Lordship Lane, London SE22","This bright, garden apartment is positioned on the ground floor of a late-Victorian townhouse on Lordship Lane, in south-east London. Nestled between East Dulwich, Dulwich Village and Forest Hill, Lordship Lane is perfectly positioned for a wide range of independent shops, cafes and restaurants,...","£360,000",The Modern House - London,020 3641 1690,https://media.onthemarket.com/properties/8628383/1298947248/image-0-480x320.jpg
5 bedroom detached house for sale,"Berens Way, Chislehurst","Located in the popular Marlings Park area of Chislehurst, a five bedroom detached house set on a large plot and offering over 2700 sq ft of accommodation. Scope to extend and improve STPP","£995,000",Kinleigh Folkard & Hayward - Chislehurst Sales,020 8022 7072,https://media.onthemarket.com/properties/8207283/1292244521/image-0-480x320.jpg
3 bedroom terraced house for sale,"Penbury Road, Southall, UB2","Three bedroom house for sale in Southall with no upper chain. The property benefits from two reception rooms, separate kitchen, rear garden and gas central heating.","£385,000",Ellis & Co - Wembley,020 8022 6541,https://media.onthemarket.com/properties/8298692/1294683133/image-0-480x320.jpg
3 bedroom terraced house for sale,"Penbury Road, Southall, UB2","Three bedroom house for sale in Southall with no upper chain. The property benefits from two reception rooms, separate kitchen, rear garden and gas central heating.","£385,000",Ellis & Co - Greenford,020 8033 7337,https://media.onthemarket.com/properties/8296311/1294683080/image-0-480x320.jpg
2 bedroom apartment for sale,"Wightman Road, Harringay, London, N4","Guide Price £490,000 - £500,000 Paul Simon market For Sale this stunning development which has been converted to create three exceptional apartments within a three storey brick fronted building.  The ground floor apartment comprises of two bedrooms and own private courtyard garden. As you enter...","£490,000",Paul Simon - Harringay,020 8033 9845,https://media.onthemarket.com/properties/8628709/1298954429/image-0-480x320.jpg
3 bedroom flat for sale,"Olive Road, Cricklewood, NW2","3 bedroom ground floor garden flat in a Victorian terraced house in Willesden Green, NW2. The flat is within a 10 minute walk of Willesden Green 24 hour Jubilee Line station and Cricklewood Thameslink station for fast access to central London making this an ideal property for commuters. Offered...","£550,000",Mapesbury Estate Agents - Willesden Green,020 8115 1535,https://media.onthemarket.com/properties/8628708/1298954424/image-0-480x320.jpg
2 bedroom flat for sale,"Newington Causeway, Elephant & Castle","Set within the popular Metro Central Heights development, this two bedroom two bathroom apartment is located on the third floor, benefitting from 24 hr concierge, residents' gym and pool.","£475,000",Kinleigh Folkard & Hayward - London Bridge Sales,020 8033 2456,https://media.onthemarket.com/properties/8183417/1289686080/image-0-480x320.jpg
1 bedroom maisonette for sale,"Packington Street, Islington",A bright and spacious 581 sq ft period conversion flat presented in good condition throughout on a sought after road in Islington.,"£500,000",Kinleigh Folkard & Hayward - Islington Sales,020 8033 2459,https://media.onthemarket.com/properties/8022019/1282075051/image-0-480x320.jpg
4 bedroom detached house for sale,"Thornhill Road, Ickenham, UB10",CHAIN FREE - Orchard Property Services are delighted to market this imposing and impressive four bedroom detached house situated in a prestigious location of Ickenham. ,"£899,950",Orchard Property Services - Ickenham,01895 754915,https://media.onthemarket.com/properties/8628346/1298946379/image-0-480x320.jpg
2 bedroom flat for sale,"Belsize Park Gardens, London, NW3",A 2 bedroom raised ground floor flat for sale on Belsize Park Gardens NW3.  A newly refurbished 2 bedroom raised ground floor apartment with a balcony forming part of an imposing stucco fronted Victorian residence with a large communal garden.  This outstanding property has been refurbished to a...,"£1,050,000",Knight Frank - Belsize Park,020 8022 6175,https://media.onthemarket.com/properties/3238996/1298946097/image-0-480x320.jpg
