Ideal für Jung und Alt!,"3 rooms, 87 m²","Goldernstrasse 32, 5000 Aarau, AG","CHF 1,765.—",
Wohnen mit Blick über Aarau,"3.5 rooms, 72 m²","Reutlingerstrasse 10, 5000 Aarau, AG","CHF 1,830.—",
Hoch hinaus im pulsierenden Aeschbachquartier!,"2.5 rooms, 69 m²","Aeschbachweg 12, 5000 Aarau, AG","CHF 1,830.—",
2 Mietzinse geschenkt!,"4 rooms, 96 m²","Goldernstrasse 28, 5000 Aarau, AG","CHF 1,840.—",
Schmuckstück im Herzen der Aarauer Altstadt,"2.5 rooms, 75 m²","Kronengasse 1, 5000 Aarau, AG","CHF 1,900.—",
Wohnen in der Stadt und doch im Grünen!,"4 rooms, 87 m²","Goldernstrasse 32, 5000 Aarau, AG","CHF 1,910.—",
WOHNEN DIREKT AM BAHNHOF AARAU,"3.5 rooms, 91 m²","Hintere Bahnhofstrasse 79, 5000 Aarau, AG","CHF 1,915.—",
Tolle 3.5- und 4-Zimmerwohnung im Herzen der Aarauer-Altstadt,3.5 rooms,"Rathausgasse 13, 5000 Aarau, AG","CHF 1,950.—",
Stylische Wohnung im ereignisreichen Aeschbachquartier!,"3.5 rooms, 75 m²","Buchserstrasse 9/11, 5000 Aarau, AG","CHF 1,970.—",
Tolle Wohnung an bester Lage!,"4 rooms, 112 m²","Gönhardweg 2, 5000 Aarau, AG","CHF 1,990.—",
Grosszügige 4.0-Zimmerwohnung sucht neue Mieter!,"4 rooms, 93 m²","Gönhardweg 2, 5000 Aarau, AG","CHF 1,990.—",
Die Familienwohnung zum Verlieben,"5.5 rooms, 116 m²","Reutlingerstrasse 12, 5000 Aarau, AG","CHF 2,000.—",
WOHNEN DIREKT AM BAHNHOF AARAU,"3.5 rooms, 98 m²","Hintere Bahnhofstrasse 79, 5000 Aarau, AG","CHF 2,075.—",
Modernes Wohnen in Fussdistanz zu Altstadt und Aare,"3.5 rooms, 98 m²","Mühlemattstrasse 78, 5000 Aarau, AG","CHF 2,170.—",
Hier fühlt sich die ganze Familie wohl,"4.5 rooms, 103 m²","Delfterstrasse 13b, 5000 Aarau, AG","CHF 2,210.—",
Moderne Familienwohnung im Trendquartier Telli,"4.5 rooms, 103 m²","Delfterstrasse 11a, 5000 Aarau, AG","CHF 2,230.—",
"Direkt am Aareufer, 3.5-ZW Aarenaupark Süd, Aarau","3.5 rooms, 105 m²","Aarenaustrasse 32, 5000 Aarau, AG","CHF 2,279.—",
Attika-Familienwohnung mit grosszügiger Terrasse,"5.5 rooms, 112 m²","Im Käfergrund 43, 5000 Aarau, AG","CHF 2,290.—",
3½-Zimmerwohnung 115 m2 + 20m2 Terrasse im 3.OG,"3.5 rooms, 115 m²","Buchserstrasse 10, 5000 Aarau, AG","CHF 2,320.—",
Modern und zentral Wohnen,"3.5 rooms, 89 m²","Luxweg 3, 5000 Aarau, AG","CHF 2,355.—",
Zentrale und doch ruhige Wohnlage,4.5 rooms,"Asylstrasse 15, 5000 Aarau, AG","CHF 2,380.—",
4 ½-Zimmer-Wohnung im EG mit Gartensitzplatz,"4.5 rooms, 112 m²","Aarepark 5c, 5000 Aarau, AG","CHF 2,410.—",
WOHNEN DIREKT AM BAHNHOF AARAU,"3.5 rooms, 111 m²","Hintere Bahnhofstrasse 85, 5000 Aarau, AG","CHF 2,440.—",
"Wohnen an der Aare - 5 ½-Zimmer-Wohnung, 121m2, mit Balkon","5.5 rooms, 121 m²","Aarepark 4c, 5000 Aarau, AG","CHF 2,450.—",
"Grosszügige, sanierte 5.5-Zimmerwohnung im Dachstock - GRATISMONAT","5.5 rooms, 150 m²","Mühlemattstrasse 40,44, 5000 Aarau, AG","CHF 2,450.—",
SEHR ZENTRAL MIT WUNDERSCHÖNER STADTSICHT,"5 rooms, 125 m²",,"CHF 2,450.—",
Moderner Wohntraum im lebendigen Aeschbachquartier,"4.5 rooms, 110 m²","Aeschbachweg 6/8, 5000 Aarau, AG","CHF 2,595.—",
"ZENTRAL, ZENTRALER, IHR NEUES ZUHAUSE","4.5 rooms, 112 m²","Bahnhofstrasse 17, 5000 Aarau, AG","CHF 2,600.—",
"Gartenwohnung mit viel Luxus, 5 Minuten zu Stadt und Bahnhof, ruhig","5.5 rooms, 120 m²","Rössligutstrasse 15, 5000 Aarau, AG","CHF 2,650.—",
GROSSZÜGIG WOHNEN DIREKT AM BAHNHOF AARAU,"4.5 rooms, 128 m²","Hintere Bahnhofstrasse 81, 5000 Aarau, AG","CHF 2,690.—",
Grosszügig und Modern,"4.5 rooms, 114 m²","Im Klee 1, 5000 Aarau, AG","CHF 2,800.—",
"Ihre moderne Wohnoase an bester, zentraler Lage","4.5 rooms, 133 m²","Mühlemattstrasse 14, 5000 Aarau, AG","CHF 2,950.—",
Stilvolle Maisonette-Wohnung - Zentral mit Aussicht,"4.5 rooms, 120 m²",,"CHF 3,000.—",
Einzigartige Loft im Herzen der Altstadt von Aarau,160 m²,"Zollrain 16, 5000 Aarau, AG","CHF 3,200.—",
Sensationelle Attikawohnung mit einzigartigem Ambiente,"3.5 rooms, 246 m²",,"CHF 3,675.—",
"Grosse, helle Duplex 3.5 Dachwohnung nähe Bahnhof","3.5 rooms, 118 m²","Rohrerstrasse 37, 5000 Aarau, AG","CHF 1,950.—",
zu vermieten,2.5 rooms,"Kronengasse 6, 5000 Aarau, AG","CHF 1,500.—",
Helle 1.5-Zimmer-Wohnung im Herzen Aarau's,"1.5 rooms, 78 m²","Schlossplatz 1, 5000 Aarau, AG","CHF 1,850.—",
Moderne 3-Zimmerwohnung in der Aarauer Altstadt,3 rooms,"Rathausgasse, 13, 5000 Aarau, AG","CHF 1,900.—",
Moderne Loft Wohnung in der Altstadt,73 m²,"Milchgasse 10, 5000 Aarau, AG","CHF 1,930.—",
